지점,지점명,일시,강수량(mm),강수량 QC플래그
108,서울,2018-04-07 16:00,,9
108,서울,2018-04-07 17:00,,9
108,서울,2018-04-07 18:00,,9
108,서울,2018-04-07 19:00,,9
108,서울,2018-04-07 20:00,,9
108,서울,2018-04-07 21:00,,9
108,서울,2018-04-07 22:00,,9
108,서울,2018-04-07 23:00,,9
108,서울,2018-04-08 0:00,,9
108,서울,2018-04-08 15:00,0,0
108,서울,2018-04-08 16:00,0,0
108,서울,2018-04-08 17:00,0.1,0
108,서울,2018-04-08 18:00,1.9,0
108,서울,2018-04-08 19:00,1,0
108,서울,2018-04-08 20:00,0,0
108,서울,2018-04-08 21:00,0,0
108,서울,2018-04-08 22:00,,9
108,서울,2018-04-08 23:00,,9
108,서울,2018-04-09 0:00,,9
108,서울,2018-04-10 21:00,0.5,0
108,서울,2018-04-10 22:00,1.5,0
108,서울,2018-04-10 23:00,3,0
108,서울,2018-04-11 0:00,,9
108,서울,2018-04-14 2:00,0,0
108,서울,2018-04-14 3:00,0.2,0
108,서울,2018-04-14 4:00,0.8,0
108,서울,2018-04-14 5:00,0,0
108,서울,2018-04-14 6:00,1,0
108,서울,2018-04-14 7:00,2,0
108,서울,2018-04-14 8:00,1,0
108,서울,2018-04-14 9:00,1.5,0
108,서울,2018-04-14 10:00,1.5,0
108,서울,2018-04-14 11:00,0.5,0
108,서울,2018-04-14 12:00,0,0
108,서울,2018-04-14 13:00,0,0
108,서울,2018-04-14 14:00,0.5,0
108,서울,2018-04-14 15:00,0,0
108,서울,2018-04-14 16:00,0,0
108,서울,2018-04-14 17:00,,9
108,서울,2018-04-14 18:00,,9
108,서울,2018-04-14 19:00,,9
108,서울,2018-04-14 20:00,,9
108,서울,2018-04-14 21:00,,9
108,서울,2018-04-14 22:00,,9
108,서울,2018-04-14 23:00,,9
108,서울,2018-04-15 0:00,,9
108,서울,2018-04-22 9:00,0,0
108,서울,2018-04-22 10:00,0.3,0
108,서울,2018-04-22 11:00,0,0
108,서울,2018-04-22 12:00,0,0
108,서울,2018-04-22 13:00,0,0
108,서울,2018-04-22 14:00,0,0
108,서울,2018-04-22 15:00,0.2,0
108,서울,2018-04-22 16:00,0,0
108,서울,2018-04-22 17:00,1,0
108,서울,2018-04-22 18:00,0.5,0
108,서울,2018-04-22 19:00,0.5,0
108,서울,2018-04-22 20:00,1.5,0
108,서울,2018-04-22 21:00,2.5,0
108,서울,2018-04-22 22:00,4,0
108,서울,2018-04-22 23:00,3,0
108,서울,2018-04-23 0:00,2,0
108,서울,2018-04-23 1:00,0.1,0
108,서울,2018-04-23 2:00,0.9,0
108,서울,2018-04-23 3:00,0.5,0
108,서울,2018-04-23 4:00,3.5,0
108,서울,2018-04-23 5:00,2.5,0
108,서울,2018-04-23 6:00,7,0
108,서울,2018-04-23 7:00,6,0
108,서울,2018-04-23 8:00,5,0
108,서울,2018-04-23 9:00,8,0
108,서울,2018-04-23 10:00,4,0
108,서울,2018-04-23 11:00,1.5,0
108,서울,2018-04-23 12:00,5.5,0
108,서울,2018-04-23 13:00,2.5,0
108,서울,2018-04-23 14:00,4,0
108,서울,2018-04-23 15:00,1.5,0
108,서울,2018-04-23 16:00,1,0
108,서울,2018-04-23 17:00,0.5,0
108,서울,2018-04-23 18:00,1,0
108,서울,2018-04-23 19:00,1.5,0
108,서울,2018-04-23 20:00,1,0
108,서울,2018-04-23 21:00,1.5,0
108,서울,2018-04-23 22:00,0,0
108,서울,2018-04-23 23:00,0,0
108,서울,2018-04-24 0:00,0,0
108,서울,2018-04-24 1:00,0,0
108,서울,2018-04-24 2:00,0.1,0
108,서울,2018-04-24 3:00,2.4,0
108,서울,2018-04-24 4:00,0.5,0
108,서울,2018-04-24 5:00,0,0
108,서울,2018-04-24 6:00,0,0
108,서울,2018-04-24 7:00,,9
108,서울,2018-04-24 8:00,,9
108,서울,2018-04-24 9:00,,9
108,서울,2018-04-24 10:00,,9
108,서울,2018-04-24 11:00,,9
108,서울,2018-04-24 12:00,,9
108,서울,2018-04-24 13:00,,9
108,서울,2018-04-24 14:00,,9
108,서울,2018-04-24 15:00,,9
108,서울,2018-04-24 16:00,,9
108,서울,2018-04-24 17:00,,9
108,서울,2018-04-24 18:00,,9
108,서울,2018-04-24 19:00,,9
108,서울,2018-04-24 20:00,,9
108,서울,2018-04-24 21:00,,9
108,서울,2018-04-24 22:00,,9
108,서울,2018-04-24 23:00,,9
108,서울,2018-04-25 0:00,,9
108,서울,2018-05-01 4:00,0,
108,서울,2018-05-01 5:00,0,
108,서울,2018-05-01 6:00,0,
108,서울,2018-05-01 7:00,,9
108,서울,2018-05-01 8:00,,9
108,서울,2018-05-01 9:00,,9
108,서울,2018-05-01 10:00,,9
108,서울,2018-05-01 11:00,,9
108,서울,2018-05-01 12:00,,9
108,서울,2018-05-01 13:00,,9
108,서울,2018-05-01 14:00,,9
108,서울,2018-05-01 15:00,,9
108,서울,2018-05-01 16:00,,9
108,서울,2018-05-01 17:00,,9
108,서울,2018-05-01 18:00,,9
108,서울,2018-05-01 19:00,,9
108,서울,2018-05-01 20:00,,9
108,서울,2018-05-01 21:00,,9
108,서울,2018-05-01 22:00,,9
108,서울,2018-05-01 23:00,,9
108,서울,2018-05-02 0:00,,9
108,서울,2018-05-02 1:00,0,
108,서울,2018-05-02 2:00,0,
108,서울,2018-05-02 3:00,0,
108,서울,2018-05-02 4:00,,9
108,서울,2018-05-02 5:00,0.4,
108,서울,2018-05-02 6:00,0.1,
108,서울,2018-05-02 7:00,1,
108,서울,2018-05-02 8:00,0,
108,서울,2018-05-02 9:00,0,
108,서울,2018-05-02 10:00,,9
108,서울,2018-05-02 11:00,0,
108,서울,2018-05-02 12:00,3.5,
108,서울,2018-05-02 13:00,4,
108,서울,2018-05-02 14:00,,9
108,서울,2018-05-02 15:00,0,
108,서울,2018-05-02 16:00,0.5,
108,서울,2018-05-02 17:00,,9
108,서울,2018-05-02 18:00,,9
108,서울,2018-05-02 19:00,0,
108,서울,2018-05-02 20:00,0.5,
108,서울,2018-05-02 21:00,1,
108,서울,2018-05-02 22:00,0,
108,서울,2018-05-02 23:00,1,
108,서울,2018-05-03 0:00,0,
108,서울,2018-05-03 12:00,0,
108,서울,2018-05-03 13:00,0.1,
108,서울,2018-05-03 14:00,0.4,
108,서울,2018-05-03 15:00,0.5,
108,서울,2018-05-03 16:00,0,
108,서울,2018-05-03 17:00,,9
108,서울,2018-05-03 18:00,,9
108,서울,2018-05-03 19:00,,9
108,서울,2018-05-03 20:00,,9
108,서울,2018-05-03 21:00,,9
108,서울,2018-05-03 22:00,,9
108,서울,2018-05-03 23:00,,9
108,서울,2018-05-04 0:00,,9
108,서울,2018-05-06 1:00,0,
108,서울,2018-05-06 2:00,0.5,
108,서울,2018-05-06 3:00,1.5,
108,서울,2018-05-06 4:00,1.5,
108,서울,2018-05-06 5:00,2,
108,서울,2018-05-06 6:00,3,
108,서울,2018-05-06 7:00,2.5,
108,서울,2018-05-06 8:00,2,
108,서울,2018-05-06 9:00,1,
108,서울,2018-05-06 10:00,1.5,
108,서울,2018-05-06 11:00,3.5,
108,서울,2018-05-06 12:00,3,
108,서울,2018-05-06 13:00,0,
108,서울,2018-05-06 14:00,0,
108,서울,2018-05-06 15:00,0,
